,t,G,Gp,Gt,Il,Ip,I1,Id,Qsto1,Qsto2,Qgut,X,SRsH,H,XH,Isc1,Isc2,Hsc1,Hsc2,D_1,t_1,D_2,t_2,D_3,t_3,pump_iob_0,pump_elapsed_0,pump_iob_1,pump_elapsed_1,pump_iob_2,pump_elapsed_2,pump_iob_3,pump_elapsed_3,pump_iob
0,0.0,140.0,208.6,153.91139240506328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,93.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,139.97761466787978,208.56664585514088,153.83125671586882,0.0,0.0,0.0,0.0,23754.11269292151,345.91582731653796,0.6709857078292155,0.0,9.230507339079713,90.5610678742677,5.0017185776030714e-05,0.0,0.0,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
2,2.0,139.95542253507747,208.53357957726544,153.75319650080064,0.18024083580164146,0.5621031008159246,0.05093727907470488,0.05093727907470488,46018.83193809285,2132.9776174772915,49.105331018433034,0.6310687563960664,10.55940937886989,87.0438540102654,4.3511434939981306e-05,421.38883051331516,6.910776820418862,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
3,3.0,139.94666689957867,208.5205336803722,153.66862541547647,0.5364589247433962,0.9252931682725837,0.17427074478237792,0.17427074478237792,44779.68825179428,4110.155252520871,191.08550811354874,2.0995711558195467,11.794810656162879,85.36283255932021,3.76131644901244e-05,413.7889228649386,13.572276446522778,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
4,4.0,139.96482368349595,208.54758728840898,153.57311959512472,0.9480615309703496,1.2314812828413935,0.350887975665444,0.350887975665444,42760.99873205948,5913.485057499924,416.0819571743788,4.111578052114523,12.563614650981041,84.82120540894466,3.2514901505333614e-05,406.32608287900763,19.991242055363486,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,180.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
5,5.0,140.0206711640774,208.63080003447533,153.46563660689034,1.37848698129309,1.5203827773412149,0.5750179979641463,0.5750179979641463,40818.42437254494,7545.574221395521,714.0019039117117,6.557413689342727,13.032822803787484,84.91452720802678,2.8159900675681012e-05,398.99783877344925,26.174254744354048,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,240.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
6,6.0,140.12262478471288,208.7827109292222,153.34691856566616,1.8154721127095257,1.8026133293038695,0.8445720037140225,0.8445720037140225,38963.827985714226,9018.275257932195,1075.4371738891168,9.380501799227552,13.319519775976913,85.33649622006689,2.4465058994833294e-05,391.80176329647475,32.1277372143242,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,300.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
7,7.0,140.27707102410938,209.01283582592296,153.2188275854589,2.253960960207454,2.080552031006109,1.1584043482290802,1.1584043482290802,37193.49148142271,10342.96198351149,1491.6621948670734,12.540105210352682,13.496151200483775,85.90920717527027,2.1349085191229984e-05,384.7354729530529,37.85795727084579,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
8,8.0,140.48865692461908,209.32809881768245,153.08398017498482,2.6911635149672453,2.3543267136187533,1.5155426536803178,1.5155426536803178,35503.59158112595,11530.398376944917,1954.575604226522,16.000769216028846,13.606346295375834,86.5319231330647,1.8738688343407487e-05,377.7966271784441,43.371031416526975,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,420.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
9,9.0,140.76053536268032,209.73319769039367,152.94549838269026,3.1251286824942466,2.6235020861839695,1.9149845740988334,1.9149845740988334,33890.47374907602,12590.79008498002,2456.6402621032494,19.729444655331125,13.676144724807127,87.14945089127274,1.65697034102799e-05,370.9829275649051,48.672928215349444,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,480.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
10,10.0,141.09457603024967,210.230918285072,152.80681624668443,3.5543089493980102,2.88755883306907,2.355652586448767,2.355652586448767,32350.64933259181,13533.842963719542,2990.82029359534,23.694742321632248,13.721106695618625,87.73302660533292,1.4786730719076166e-05,364.2921170659539,53.76947173187923,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,540.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
11,11.0,141.49154156542556,210.82239693248408,152.6715244381543,3.97741935545192,3.1460185644002676,2.8363934248033673,2.8363934248033673,30880.78811674936,14368.82474807581,3550.5161724391223,27.8667878932595,13.750559220554138,88.26912271442217,1.3342281375234912e-05,357.72197925593866,58.66634479659977,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,600.0,0.0,0.0,0.0,0.0,0.0,0.0,4.820000171661377
12,12.0,141.95123351879826,211.50733794300942,152.54324256958856,4.3933793562517645,3.398472621914763,3.3559883254055087,3.3559883254055087,29477.7111907798,15104.629902138406,4129.497775804935,32.21722019557766,13.770131352915715,88.75284969815044,1.2195792172621758e-05,351.2703376436584,63.36909211024137,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,660.0,0.0,0.0,0.0,0.0,0.0,0.0,4.815723896026611
13,13.0,142.4726115543602,212.2841912159967,152.42551385366605,4.801280943548403,3.6445833446516507,3.913165229814502,3.913165229814502,28138.384090938365,15749.846914523097,4721.836218574892,36.71921322648406,13.783255708784738,89.184092458461,1.1312627800095516e-05,344.93505499661353,67.88312330884865,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,720.0,0.0,0.0,0.0,0.0,0.0,0.0,4.808720588684082
14,14.0,143.05388821147196,213.15029343509323,152.32171816841304,5.200366019515241,3.88407825095451,4.506610389683622,4.506610389683622,26859.91025386979,16312.825396367027,5321.837137873196,41.34749004908623,13.792054529471969,89.56526319271684,1.0663120124839057e-05,338.7140326711543,72.21371597269643,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,780.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801027774810791
15,15.0,143.69260230200248,214.10197742998372,152.2350001936324,5.590007937581454,4.116742898349074,5.134978781168536,5.134978781168536,25639.524762736695,16801.738288862878,5923.980056483786,46.07832201626803,13.797863188080424,89.9000032163975,1.0221661170693067e-05,332.6052099411422,76.36601859190029,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,840.0,0.0,0.0,0.0,0.0,0.0,0.0,4.792657375335693
16,16.0,144.38567477021877,215.13465540762598,152.16820979778464,5.969695564696942,4.342413974148537,5.796903291699794,5.796903291699794,24474.588363826573,17224.631601060337,6522.871201551023,50.88951374245592,13.80154074418339,90.19244100805341,9.965855711517941e-06,326.6065633264811,80.34505349050151,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,900.0,0.0,0.0,0.0,0.0,0.0,0.0,4.783621311187744
17,17.0,145.12945176904464,216.24288313587653,152.12385269223793,6.339019300170847,4.560973017826808,6.491002739232717,6.491002739232717,23362.58176320546,17589.450966407716,7113.220064857195,55.76037601100628,13.80365438162718,90.44677792322587,9.875740535933584e-06,320.7161059295506,84.15571969112894,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,960.0,0.0,0.0,0.0,0.0,0.0,0.0,4.773931503295898
18,18.0,145.9197415682723,217.4204149367257,152.10404966613166,6.697658686703628,4.772340798149779,7.215888872021825,7.215888872021825,22301.1001716752,17904.032274552963,7689.851786052707,60.671688848578036,13.804590330919842,90.66706393807036,9.933079345238775e-06,314.93188678098096,87.80279572609949,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763600826263428
19,19.0,146.7518532106224,218.66026128382734,152.1105037550666,7.04537143688047,4.9764723178433,7.97017244527706,7.97017244527706,21287.84809901471,18176.044296108616,8247.766488116873,65.60565688834475,13.804620758135908,90.85708518204865,1.0120749020522999e-05,309.2519901986456,91.29094238654275,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,4.752640724182129
20,20.0,147.6206459035538,219.95476239629514,152.14447536940895,7.381983704519321,5.173352383295243,8.752468482484765,8.752468482484765,20320.63438450549,18412.876857013616,8782.25086397742,70.54585885717542,13.803944565229079,91.0203157724639,1.042223706526089e-05,303.6745351583386,94.62470541268915,0.0,0.0,50000.0,0.0,60000.0,240.0,60000.0,660.0,4.820000171661377,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741063117980957
