,t,G,Gp,Gt,Il,Ip,I1,Id,Qsto1,Qsto2,Qgut,X,SRsH,H,XH,Isc1,Isc2,Hsc1,Hsc2,D_1,t_1,D_2,t_2,D_3,t_3,pump_iob_0,pump_elapsed_0,pump_iob_1,pump_elapsed_1,pump_iob_2,pump_elapsed_2,pump_iob_3,pump_elapsed_3,pump_iob
0,0.0,130.0,193.7,141.65189873417722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.95,93.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,130.0000255379118,193.70003805148858,141.65189918781837,0.0,0.0,0.0,0.0,23754.112786201007,345.9158974262321,0.6709874985961044,0.0,13.949998090337706,93.00315809250853,0.0008753531349801106,0.0,0.0,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2,2.0,130.00264400329516,193.70393956490977,141.64733498837805,0.3739436555943968,1.166188932253117,0.10567900271275127,0.10567900271275127,46018.873465401964,2132.9789147224983,49.10537927081179,1.3092712898352783,13.949983367435117,93.0052061559124,0.001879041129159768,874.2506545763649,14.337710735053152,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3,3.0,130.01995003081214,193.7297255459101,141.62168451464487,1.1129852886447218,1.9196952926435484,0.36155755009597135,0.36155755009597135,44779.72799047431,4110.158315807681,191.08567112562653,4.355956615768488,13.949876961163332,93.00534239329197,0.0028379315217123132,858.4832118840606,28.158248886135176,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
4,4.0,130.06405549724118,193.79544269088936,141.56517677817308,1.9669325653830894,2.554940331298369,0.7279833250532032,0.7279833250532032,42761.03680835929,5913.489724882152,416.0823174920664,8.530244606673755,13.949597061427294,93.00473298461665,0.0036219810915158216,843.0001419226298,41.47560445143272,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
5,5.0,130.14432170975678,193.9150393475376,141.47356146913577,2.859931504955178,3.154320862228064,1.1929833583071572,1.1929833583071572,40818.46069252215,7545.5803673286755,714.0025227119572,13.604592294887855,13.949099734363143,93.00367981197763,0.004202097848867128,827.7963164780257,54.303431225809895,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
6,6.0,130.26772319883105,194.09890756625828,141.34530033978663,3.7665400790993964,3.739860855756242,1.7522240059954732,1.7522240059954732,38963.862577711836,9018.282835113916,1075.4380721946343,19.461621510826753,13.948374256248675,93.00213241728383,0.004568509478108955,812.8666996360557,66.65505453562744,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
7,7.0,130.43920727964095,194.35441884666503,141.18052965492765,4.676265910840607,4.31649933507655,2.4033279938977654,2.4033279938977654,37193.52424625803,10342.971246894605,1491.6631746410176,26.016808629147665,13.947430471007586,92.99998529557197,0.004718221903684967,798.2063461192599,78.54347862583852,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
8,8.0,130.66200366173308,194.68638545598228,140.98056290625078,5.583325771605201,4.884495541306044,3.144278697140285,3.144278697140285,35503.6224860036,11530.409274939297,1954.57675320698,33.196608363060626,13.946288372462462,92.99714326700175,0.004665216987445993,783.8103999360447,89.9813932430544,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
9,9.0,130.93788870239004,195.09745416656116,140.7475781804978,6.483669069555709,5.442950324777393,3.9729961880324076,3.9729961880324076,33890.50312557284,12590.801642310955,2456.642337539117,40.93245280226359,13.944971778461476,92.99353787656585,0.0044503052872039645,769.6740932311684,100.98117994388662,0.0,0.0,50000.0,0.0,100000.0,240.0,100000.0,660.0,10.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
